ETF이름,링크,ETF코드,운용사,수수료,시가총액(억 원),수익률,,,,구성종목 TOP 10,,,,,,,,,,,,,,,,,,,
KINDEX 일본Nikkei225(H),https://finance.naver.com/item/coinfo.nhn?code=238720,238720,한국투자신탁운용,0.300,114,1.28,9.26,24.43,28.34, 외국환포워드(JPY) ,, KDDI ,, SOFTBANK GROUP ,, ASTELLAS PHARMA INC ,, NTT DATA ,, OLYMPUS ,, TERUMO ,, CHUGAI PHARMACEUTICAL CO LTD ,, DAIICHI SANKYO ,, RECRUIT HOLDINGS CO LTD ,
KINDEX 인버스,https://finance.naver.com/item/coinfo.nhn?code=145670,145670,한국투자신탁운용,0.150,73,3.08,-17.29,-26.88,-39.61, KODEX 인버스 ,, TIGER 인버스 ,, 코스피200 F 202103 ,, 설정현금액 ,, 원화현금 ,
KINDEX 인도네시아MSCI(합성),https://finance.naver.com/item/coinfo.nhn?code=256440,256440,한국투자신탁운용,0.700,165,-4.51,1.58,4.26,-13.45, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
KINDEX 싱가포르리츠,https://finance.naver.com/item/coinfo.nhn?code=316300,316300,한국투자신탁운용,0.400,113,-2.29,0.53,-1.78,-10.19, MAPLETREE LOGIS TRUST ,, CapitaLand Integrated Commercial Trust ,, KEPPEL REIT ,, MAPLETREE COMMER TRUST ,, KEPPEL DC REIT ,, MAPLETREE INDUS TRUST ,, ASCENDAS REAL ESTATE INV TRT ,, MANULIFE US REAL EST INV TRUST ,, FRASERS LOGIS & COMMERCIAL TRUST ,, FRASERS CENTREPOINT TRUST ,
KINDEX 스마트하이베타,https://finance.naver.com/item/coinfo.nhn?code=322150,322150,한국투자신탁운용,0.190,104,-5.21,20.55,37.81,53.24, 삼성전자 ,25.16, SK하이닉스 ,5.64, LG화학 ,3.99, NAVER ,3.93, 현대차 ,3.60, 삼성SDI ,2.64, 셀트리온 ,2.47, 기아차 ,2.29, 카카오 ,2.28, SK이노베이션 ,1.78
KINDEX 스마트퀄리티,https://finance.naver.com/item/coinfo.nhn?code=322120,322120,한국투자신탁운용,0.190,77,-3.50,19.96,30.59,50.24, 삼성전자 ,25.21, SK하이닉스 ,7.55, NAVER ,5.70, LG화학 ,3.62, 셀트리온 ,3.60, 삼성SDI ,3.08, 현대차 ,2.95, 카카오 ,2.68, 현대모비스 ,2.67, 엔씨소프트 ,2.18
KINDEX 스마트밸류,https://finance.naver.com/item/coinfo.nhn?code=272230,272230,한국투자신탁운용,0.190,123,-3.75,19.06,33.16,47.62, 삼성전자 ,25.35, SK하이닉스 ,6.09, NAVER ,4.26, LG화학 ,3.35, 삼성SDI ,2.85, 현대차 ,2.74, 셀트리온 ,2.69, 카카오 ,2.47, LG전자 ,2.14, 엔씨소프트 ,2.07
KINDEX 스마트모멘텀,https://finance.naver.com/item/coinfo.nhn?code=272220,272220,한국투자신탁운용,0.190,125,-4.02,17.91,29.61,50.17, 삼성전자 ,25.75, SK하이닉스 ,5.77, LG화학 ,4.08, NAVER ,4.04, 셀트리온 ,3.29, 삼성SDI ,2.71, 현대차 ,2.58, 카카오 ,2.34, POSCO ,1.90, 신한지주 ,1.73
KINDEX 스마트로우볼,https://finance.naver.com/item/coinfo.nhn?code=322130,322130,한국투자신탁운용,0.190,103,-3.22,17.40,30.45,42.09, 삼성전자 ,25.49, SK하이닉스 ,6.79, NAVER ,5.15, 카카오 ,3.48, LG화학 ,3.15, 삼성SDI ,2.68, 현대차 ,2.56, 셀트리온 ,2.52, LG전자 ,2.07, 엔씨소프트 ,1.97
KINDEX 삼성그룹섹터가중,https://finance.naver.com/item/coinfo.nhn?code=108450,108450,한국투자신탁운용,0.150,1019,-8.56,11.32,28.84,47.30, 삼성SDI ,27.77, 삼성전자 ,26.12, 삼성바이오로직스 ,13.09, 삼성물산 ,6.23, 삼성전기 ,4.19, 삼성증권 ,3.27, 삼성생명 ,3.03, 삼성엔지니어링 ,2.98, 호텔신라 ,2.90, 삼성중공업 ,2.85
KINDEX 삼성그룹동일가중,https://finance.naver.com/item/coinfo.nhn?code=131890,131890,한국투자신탁운용,0.150,81,-5.79,3.92,19.71,21.74, 삼성카드 ,7.36, 삼성생명 ,7.07, 삼성중공업 ,6.97, 에스원 ,6.86, 삼성화재 ,6.84, 삼성엔지니어링 ,6.82, 호텔신라 ,6.80, 삼성전자 ,6.80, 제일기획 ,6.67, 삼성에스디에스 ,6.45
KINDEX 블룸버그베트남VN30선물레버리지(H),https://finance.naver.com/item/coinfo.nhn?code=371130,371130,한국투자신탁운용,0.700,128,0.31,27.36,,, VFMVN30 ETF FUND ,, VN30 F2103 ,, 미국달러 F 202103 ,, 설정현금액 ,, 원화현금 ,, VND 예금 ,
KINDEX 베트남VN30(합성),https://finance.naver.com/item/coinfo.nhn?code=245710,245710,한국투자신탁운용,0.700,1868,3.14,21.28,31.70,25.01, VFMVN30 ETF FUND ,, 스왑(메리츠증권) ,, 스왑(삼성증권) ,, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
KINDEX 밸류대형,https://finance.naver.com/item/coinfo.nhn?code=143460,143460,한국투자신탁운용,0.150,167,-4.79,20.23,39.31,46.31, 삼성전자 ,26.52, 현대차 ,7.62, SK하이닉스 ,4.84, POSCO ,3.47, 기아차 ,3.33, LG전자 ,2.64, SK이노베이션 ,2.47, 한국전력 ,2.30, KB금융 ,2.10, 현대모비스 ,2.04
KINDEX 배당성장,https://finance.naver.com/item/coinfo.nhn?code=211260,211260,한국투자신탁운용,0.150,74,-3.16,13.22,25.34,41.26, 현대차 ,5.45, 한국금융지주 ,4.93, 효성 ,4.40, 휴켐스 ,4.24, 메리츠화재 ,4.04, 금호석유 ,4.00, 롯데케미칼 ,3.90, 현대글로비스 ,3.65, NH투자증권 ,3.23, SK가스 ,2.98
KINDEX 미국WideMoat가치주,https://finance.naver.com/item/coinfo.nhn?code=309230,309230,한국투자신탁운용,0.400,285,5.52,10.45,13.12,16.18, WELLS FARGO & CO ,, BANK OF AMERICA CORP ,, CORTEVA ,, WILEY JOHN&SON-A ,, PFIZER INC ,, US BANCORP ,, SCHWAB (CHARLES) CORP ,, WESTERN UNION CO ,, ALTRIA GROUP INC ,, INTEL Corp ,
KINDEX 미국S&P500,https://finance.naver.com/item/coinfo.nhn?code=360200,360200,한국투자신탁운용,0.070,1309,1.44,7.13,5.54,, APPLE Inc ,, GENERAL ELECTRIC CO ,, BANK OF AMERICA CORP ,, MICROSOFT ,, AT&T INC ,, PFIZER INC ,, COMCAST CORP ,, CISCO SYSTEMS INC ,, EXXON MOBIL CORP ,, VERIZON COMMUNICATIONS INC ,
KINDEX 미국IT인터넷S&P(합성 H),https://finance.naver.com/item/coinfo.nhn?code=280320,280320,한국투자신탁운용,0.500,156,0.23,9.02,16.17,51.18, 스왑(삼성증권) ,, 설정현금액 ,, 원화현금 ,
KINDEX 미국다우존스리츠(합성 H),https://finance.naver.com/item/coinfo.nhn?code=181480,181480,한국투자신탁운용,0.300,81,3.17,4.73,9.26,-8.08, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
KINDEX 미국나스닥100,https://finance.naver.com/item/coinfo.nhn?code=367380,367380,한국투자신탁운용,0.070,1213,-3.25,6.46,,, APPLE Inc ,, MICROSOFT ,, COMCAST CORP ,, SIRIUS XM HLDGS IN ,, CISCO SYSTEMS INC ,, INTEL Corp ,, FACEBOOK ,, MONDELEZ INTERNATIONAL ,, KEURIG DR PEPPER ,, PEPSICO INC ,
KINDEX 모닝스타싱가포르리츠채권혼합,https://finance.naver.com/item/coinfo.nhn?code=342140,342140,한국투자신탁운용,0.400,98,-1.90,-1.35,-3.63,-5.57, MAPLETREE LOGIS TRUST ,, CapitaLand Integrated Commercial Trust ,, KEPPEL REIT ,, MAPLETREE COMMER TRUST ,, KEPPEL DC REIT ,, MAPLETREE INDUS TRUST ,, ASCENDAS REAL ESTATE INV TRT ,, MANULIFE US REAL EST INV TRUST ,, FRASERS LOGIS & COMMERCIAL TRUST ,, FRASERS CENTREPOINT TRUST ,
KINDEX 멕시코MSCI(합성),https://finance.naver.com/item/coinfo.nhn?code=291130,291130,한국투자신탁운용,0.500,66,-2.76,-0.24,12.95,-17.03, 스왑(삼성증권) ,, 설정현금액 ,, 원화현금 ,
KINDEX 레버리지,https://finance.naver.com/item/coinfo.nhn?code=152500,152500,한국투자신탁운용,0.300,122,-7.46,37.55,71.85,100.69, KODEX 레버리지 ,, 삼성전자 ,, KINDEX 200 ,, KODEX 200 ,, SK하이닉스 ,, 우리금융지주 ,, 삼성중공업 ,, 신한지주 ,, KB금융 ,, 미래에셋대우 ,
KINDEX 러시아MSCI(합성),https://finance.naver.com/item/coinfo.nhn?code=265690,265690,한국투자신탁운용,0.500,115,1.77,7.24,2.26,-16.94, 스왑(메리츠증권) ,, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
KINDEX 단기통안채,https://finance.naver.com/item/coinfo.nhn?code=190620,190620,한국투자신탁운용,0.070,1432,0.04,0.13,0.26,0.69, 통화안정증권00590-2107-01 ,, 통화안정증권00720-2105-01 ,, 통화안정증권00990-2103-01 ,, 통화안정증권01400-2112-02 ,, 통화안정증권01585-2106-02 ,, 통화안정증권01740-2104-02 ,, 설정현금액 ,, 원화현금 ,
KINDEX 국채선물3년인버스,https://finance.naver.com/item/coinfo.nhn?code=299080,299080,한국투자신탁운용,0.050,50,0.02,0.07,0.49,0.02, 3년국채    F 202103 ,, 설정현금액 ,, 원화현금 ,
KINDEX 국채선물10년인버스,https://finance.naver.com/item/coinfo.nhn?code=299070,299070,한국투자신탁운용,0.050,48,1.55,2.44,4.53,4.69, 10년국채   F 202103 ,, 설정현금액 ,, 원화현금 ,
KINDEX 국고채3년,https://finance.naver.com/item/coinfo.nhn?code=114460,114460,한국투자신탁운용,0.150,354,-0.04,0.06,-0.14,0.99, 국고채권01000-2306(20-3) ,, 국고채권01125-2509(20-6) ,, 국고채권01250-2212(19-7) ,, 원화현금 ,
KINDEX 국고채10년,https://finance.naver.com/item/coinfo.nhn?code=365780,365780,한국투자신탁운용,0.100,99,-1.28,-1.77,,, 국고채권01375-2912(19-8) ,, 국고채권01375-3006(20-4) ,, 국고채권01875-2906(19-4) ,, 설정현금액 ,, 원화현금 ,
KINDEX 골드선물 레버리지(합성 H),https://finance.naver.com/item/coinfo.nhn?code=225130,225130,한국투자신탁운용,0.490,234,-10.31,-7.37,-19.62,-0.51, 스왑(KB증권) ,, 스왑(NH투자증권) ,, 설정현금액 ,, 원화현금 ,
KINDEX 200TR,https://finance.naver.com/item/coinfo.nhn?code=332500,332500,한국투자신탁운용,0.030,3250,-3.10,19.08,33.69,49.57, 삼성전자 ,31.62, SK하이닉스 ,6.44, NAVER ,3.86, LG화학 ,3.09, 삼성SDI ,2.83, 현대차 ,2.72, 셀트리온 ,2.56, 카카오 ,2.48, 기아차 ,1.62, 현대모비스 ,1.59
KINDEX 200,https://finance.naver.com/item/coinfo.nhn?code=105190,105190,한국투자신탁운용,0.090,7395,-3.20,18.76,33.50,49.93, 삼성전자 ,31.53, SK하이닉스 ,6.43, NAVER ,3.84, LG화학 ,3.09, 삼성SDI ,2.83, 현대차 ,2.71, 셀트리온 ,2.55, 카카오 ,2.47, 기아차 ,1.62, 현대모비스 ,1.59
KBSTAR V&S셀렉트밸류채권혼합,https://finance.naver.com/item/coinfo.nhn?code=241390,241390,케이비자산운용,0.230,98,-1.81,7.56,11.57,18.67, KBSTAR V&S셀렉트밸류 ,, 삼성전자 ,, 현대퓨처넷 ,, 한화손해보험 ,, 메리츠화재 ,, GKL ,, 한온시스템 ,, KT ,, 신한지주 ,, 코텍 ,
KBSTAR V&S셀렉트밸류,https://finance.naver.com/item/coinfo.nhn?code=234310,234310,케이비자산운용,0.300,92,-4.26,17.13,28.18,45.09, 삼성전자 ,28.45, NAVER ,3.12, 삼성SDI ,3.04, 현대차2우B ,2.98, SK이노베이션 ,2.83, LG화학우 ,2.83, 엔씨소프트 ,2.63, 실리콘웍스 ,2.08, SK텔레콤 ,2.01, 신한지주 ,2.00
KBSTAR KRX국채선물3년10년플래트너2X,https://finance.naver.com/item/coinfo.nhn?code=342620,342620,케이비자산운용,0.200,59,-0.79,-1.08,-1.53,-2.55, 국고채권01875-2906(19-4) ,, 10년국채   F 202103 ,, 3년국채    F 202103 ,, 설정현금액 ,, 원화현금 ,
KBSTAR KRX국채선물3년10년플래트너,https://finance.naver.com/item/coinfo.nhn?code=342610,342610,케이비자산운용,0.150,59,-0.45,-0.60,-0.83,-1.13, 10년국채   F 202103 ,, 3년국채    F 202103 ,, 설정현금액 ,, 원화현금 ,
KBSTAR KRX국채선물3년10년스티프너2X,https://finance.naver.com/item/coinfo.nhn?code=342600,342600,케이비자산운용,0.200,63,0.99,1.57,2.34,4.27, 3년국채    F 202103 ,, 국고채권01250-2212(19-7) ,, 국고채권01500-2503(20-1) ,, 10년국채   F 202103 ,, 설정현금액 ,, 원화현금 ,
KBSTAR KRX국채선물3년10년스티프너,https://finance.naver.com/item/coinfo.nhn?code=342500,342500,케이비자산운용,0.150,62,0.52,0.86,1.23,2.29, 3년국채    F 202103 ,, 10년국채   F 202103 ,, 설정현금액 ,, 원화현금 ,
KBSTAR KRX300미국달러선물혼합,https://finance.naver.com/item/coinfo.nhn?code=319870,319870,케이비자산운용,0.300,106,-2.10,18.89,22.75,39.11, KBSTAR KRX300 ,10.66, KOSEF 미국달러선물 ,1.00, 미국달러 F 202103 ,, KRX300    F 202103 ,, 설정현금액 ,, 원화현금 ,88.34
KBSTAR KRX300레버리지,https://finance.naver.com/item/coinfo.nhn?code=307010,307010,케이비자산운용,0.550,139,-8.38,33.92,64.18,99.30, KBSTAR KRX300 ,, 삼성전자 ,, SK하이닉스 ,, 우리금융지주 ,, 삼성중공업 ,, 신한지주 ,, KB금융 ,, 미래에셋대우 ,, 한화생명 ,, 한국전력 ,
KBSTAR KRX300,https://finance.naver.com/item/coinfo.nhn?code=292050,292050,케이비자산운용,0.050,454,-4.00,17.47,30.54,49.28, 삼성전자 ,29.37, SK하이닉스 ,5.98, NAVER ,3.58, LG화학 ,2.84, 삼성SDI ,2.65, 현대차 ,2.53, 셀트리온 ,2.40, 카카오 ,2.33, 기아차 ,1.51, 현대모비스 ,1.48
KBSTAR KQ고배당,https://finance.naver.com/item/coinfo.nhn?code=270800,270800,케이비자산운용,0.300,149,-5.47,11.72,22.48,37.99, 셀트리온헬스케어 ,8.58, SK머티리얼즈 ,8.47, GS홈쇼핑 ,5.50, 에스에프에이 ,5.32, 리노공업 ,3.83, 실리콘웍스 ,3.42, 파트론 ,3.22, 동원개발 ,2.89, 에스에이엠티 ,2.38, 메가스터디교육 ,2.28
KBSTAR IT플러스,https://finance.naver.com/item/coinfo.nhn?code=326240,326240,케이비자산운용,0.400,1318,-2.88,23.77,33.42,63.86, 삼성전자 ,23.94, NAVER ,11.12, SK하이닉스 ,10.28, 카카오 ,10.26, 삼성SDI ,10.23, 엔씨소프트 ,5.90, 삼성전기 ,3.54, 삼성에스디에스 ,2.23, LG디스플레이 ,1.64, 넷마블 ,0.98
KBSTAR Fn수소경제테마,https://finance.naver.com/item/coinfo.nhn?code=367770,367770,케이비자산운용,0.450,2188,-10.37,13.24,,, 현대모비스 ,16.57, 현대차 ,16.49, 한온시스템 ,13.07, 두산퓨얼셀 ,10.66, 한국가스공사 ,9.68, 효성첨단소재 ,5.25, 삼화콘덴서 ,3.67, 상아프론테크 ,2.81, 미코 ,2.60, 일진다이아 ,2.03
KBSTAR Fn5G테크,https://finance.naver.com/item/coinfo.nhn?code=367760,367760,케이비자산운용,0.450,992,-11.20,2.44,,, 삼성전자 ,23.03, 리노공업 ,13.03, 케이엠더블유 ,12.57, 에이스테크 ,5.45, RFHIC ,4.51, 서진시스템 ,3.90, 한미반도체 ,3.64, 비에이치 ,3.41, 쏠리드 ,3.16, 오이솔루션 ,2.71
KBSTAR Fn K-뉴딜디지털플러스,https://finance.naver.com/item/coinfo.nhn?code=368200,368200,케이비자산운용,0.090,63,-5.91,13.59,,, 카카오 ,12.42, NAVER ,12.35, 삼성SDI ,11.36, 엔씨소프트 ,10.12, LG화학 ,9.65, SK이노베이션 ,8.24, 셀트리온 ,7.95, 삼성바이오로직스 ,7.63, 셀트리온헬스케어 ,7.21, 포스코케미칼 ,2.61
KBSTAR ESG사회책임투자,https://finance.naver.com/item/coinfo.nhn?code=290130,290130,케이비자산운용,0.300,2894,-3.05,22.63,36.47,55.23, 삼성전자 ,26.41, SK하이닉스 ,14.80, NAVER ,8.83, 현대차 ,6.23, 기아차 ,3.73, 현대모비스 ,3.68, 엔씨소프트 ,3.25, LG생활건강 ,2.62, SK이노베이션 ,2.52, 삼성전기 ,1.94
KBSTAR 헬스케어채권혼합,https://finance.naver.com/item/coinfo.nhn?code=253290,253290,케이비자산운용,0.350,124,-4.06,-0.88,-0.88,20.88, KBSTAR 헬스케어 ,, CMG제약 ,, 영진약품 ,, 부광약품 ,, 유한양행 ,, 셀트리온헬스케어 ,, 차바이오텍 ,, 한올바이오파마 ,, JW홀딩스 ,, 광동제약 ,
KBSTAR 헬스케어,https://finance.naver.com/item/coinfo.nhn?code=253280,253280,케이비자산운용,0.400,80,-11.96,-3.83,-3.60,74.09, 삼성바이오로직스 ,10.66, 셀트리온 ,9.83, 셀트리온헬스케어 ,9.52, 유한양행 ,5.36, 셀트리온제약 ,4.48, 한미약품 ,4.36, 신풍제약 ,4.27, 씨젠 ,3.91, 녹십자 ,3.63, 부광약품 ,2.70
KBSTAR 팔라듐선물인버스(H),https://finance.naver.com/item/coinfo.nhn?code=334700,334700,케이비자산운용,0.600,26,-2.37,-1.90,-10.96,-15.48, PALLADIUM FUTURE JUN21 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 팔라듐선물(H),https://finance.naver.com/item/coinfo.nhn?code=334690,334690,케이비자산운용,0.600,69,0.96,-1.93,5.91,-15.39, ABERDEEN STANDARD PHYSICAL P ,, PALLADIUM FUTURE JUN21 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 코스피ex200,https://finance.naver.com/item/coinfo.nhn?code=361590,361590,케이비자산운용,0.250,148,-1.04,13.46,25.00,, 맥쿼리인프라 ,2.71, 더존비즈온 ,2.16, 현대오토에버 ,1.79, 메리츠화재 ,1.27, 효성티앤씨 ,1.13, 메리츠금융지주 ,1.07, 솔루스첨단소재 ,0.90, NHN ,0.88, 효성첨단소재 ,0.85, 다우기술 ,0.80
KBSTAR 코스피,https://finance.naver.com/item/coinfo.nhn?code=302450,302450,케이비자산운용,0.140,1743,-4.00,17.34,30.35,48.21, 삼성전자 ,24.34, SK하이닉스 ,5.10, NAVER ,3.11, LG화학 ,2.91, 현대차 ,2.55, 삼성바이오로직스 ,2.43, 삼성SDI ,2.31, 카카오 ,2.12, 셀트리온 ,2.02, 기아차 ,1.63
KBSTAR 코스닥150선물인버스,https://finance.naver.com/item/coinfo.nhn?code=275750,275750,케이비자산운용,0.600,46,11.38,-4.19,-6.88,-37.62, 코스닥150 F 202103 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 코스닥150선물레버리지,https://finance.naver.com/item/coinfo.nhn?code=278240,278240,케이비자산운용,0.600,1711,-21.70,2.58,2.31,71.55, KBSTAR 코스닥150 ,, 코스닥150 F 202103 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 코스닥150,https://finance.naver.com/item/coinfo.nhn?code=270810,270810,케이비자산운용,0.180,1633,-10.69,1.96,2.74,38.33, 셀트리온헬스케어 ,11.36, 에이치엘비 ,2.81, 알테오젠 ,2.47, 셀트리온제약 ,2.36, 씨젠 ,2.05, 제넥신 ,1.80, 현대바이오 ,1.70, 펄어비스 ,1.69, 원익IPS ,1.55, 리노공업 ,1.52
KBSTAR 채권혼합,https://finance.naver.com/item/coinfo.nhn?code=183700,183700,케이비자산운용,0.200,154,-1.29,5.67,9.36,14.81, 삼성전자 ,, SK하이닉스 ,, 우리금융지주 ,, 신한지주 ,, 삼성중공업 ,, 미래에셋대우 ,, KB금융 ,, KBSTAR 200 ,, 한화생명 ,, 한국전력 ,
KBSTAR 차이나HSCEI(H),https://finance.naver.com/item/coinfo.nhn?code=250730,250730,케이비자산운용,0.400,65,-3.61,5.92,10.62,8.86, CHINA CONSTRUCTION BANK-H ,, BANK OF CHINA LTD-H ,, IND & COMM BK OF CHINA-H ,, CHINA TOWER CORP LTD-H ,, AGRICULTURAL BANK OF CHINA-H ,, CHINA PETROLEUM & CHEMICAL-H ,, PETROCHINA CO LTD-H ,, CNOOC LTD ,, XIAOMI CORP-CLASS B ,, SINO BIOPHARMACEUTICAL ,
KBSTAR 차이나H선물인버스(H),https://finance.naver.com/item/coinfo.nhn?code=291680,291680,케이비자산운용,0.590,46,2.52,-7.58,-11.89,-15.75, FX스왑 HKD 190103-06 ,, CSOP HS CH ENTERPRISES -2X ,, HSCEI Futures Mar21 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 차이나항셍테크,https://finance.naver.com/item/coinfo.nhn?code=371150,371150,케이비자산운용,0.140,74,-8.57,,,, LENOVO GROUP LTD ,, XIAOMI CORP-CLASS B ,, SEMICONDUCTOR MANUFACTURING ,, ALIBABA HEALTH INFORMATION T ,, KINGDEE INTERNATIONAL SFTWR ,, FIT HON TENG LTD ,, WEIMOB INC ,, JD HEALTH INTERNATIONAL INC ,, TONGCHENG-ELONG HOLDINGS LTD ,, YIXIN GROUP LTD ,
KBSTAR 중장기국공채액티브,https://finance.naver.com/item/coinfo.nhn?code=272570,272570,케이비자산운용,0.070,424,0.06,0.31,-0.09,1.41, 국고채권01125-2509(20-6) ,, 국고채권01500-2503(20-1) ,, 농업금융채권(중앙회)2015-03이10Y-B ,, 원화현금 ,
KBSTAR 중소형모멘텀밸류,https://finance.naver.com/item/coinfo.nhn?code=300290,300290,케이비자산운용,0.350,54,-5.52,11.31,18.87,44.90, SKC ,5.83, DB하이텍 ,4.87, 두산중공업 ,4.75, 키움증권 ,3.69, 한화 ,3.07, LS ,3.04, 현대위아 ,2.98, 대한유화 ,2.88, 현대백화점 ,2.87, DGB금융지주 ,2.65
KBSTAR 중소형모멘텀로우볼,https://finance.naver.com/item/coinfo.nhn?code=300280,300280,케이비자산운용,0.350,37,-6.87,8.47,10.49,38.17, SK케미칼 ,6.18, SKC ,5.14, 한솔케미칼 ,4.74, 녹십자 ,4.35, 리노공업 ,3.47, 키움증권 ,3.26, SK머티리얼즈 ,2.88, 컴투스 ,2.74, 종근당 ,2.71, 동서 ,2.64
KBSTAR 중소형고배당,https://finance.naver.com/item/coinfo.nhn?code=281990,281990,케이비자산운용,0.300,57,0.48,17.32,28.62,40.34, 동서 ,7.65, 포스코인터내셔널 ,6.56, 두산 ,4.66, SKC ,3.81, 한화 ,3.54, 한전KPS ,3.52, 롯데정밀화학 ,3.10, SK머티리얼즈 ,3.06, 한국앤컴퍼니 ,2.75, LS ELECTRIC ,2.48
KBSTAR 중기우량회사채,https://finance.naver.com/item/coinfo.nhn?code=136340,136340,케이비자산운용,0.070,1181,0.12,0.64,1.01,1.76, 국고채권00875-2312(20-8) ,, 국고채권01000-2306(20-3) ,, 국고채권01125-2509(20-6) ,, 삼성카드2404 ,, 신한캐피탈425-6 ,, 에스케이인천석유화학15-3 ,, 엔에이치농협캐피탈160-2 ,, 우리금융캐피탈412-3 ,, 하나캐피탈307-4 ,, 한화230-1 ,
KBSTAR 중국MSCI China선물(H),https://finance.naver.com/item/coinfo.nhn?code=310080,310080,케이비자산운용,0.600,108,-3.45,8.57,15.14,38.55, MSCI ChinaFree NT Mar21 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 중국본토대형주CSI100,https://finance.naver.com/item/coinfo.nhn?code=174360,174360,케이비자산운용,0.650,657,0.26,14.09,18.98,36.99, IND & COMM BK OF CHINA-A ,, AGRICULTURAL BANK OF CHINA-A ,, BANK OF COMMUNICATIONS CO-A ,, BOE TECHNOLOGY GROUP CO LT-A ,, CHINA MINSHENG BANKING-A ,, BANK OF CHINA LTD-A ,, CHINA STATE CONSTRUCTION -A ,, CHINA EVERBRIGHT BANK CO-A ,, BANK OF BEIJING CO LTD -A ,, INDUSTRIAL BANK CO LTD -A ,
KBSTAR 주식혼합,https://finance.naver.com/item/coinfo.nhn?code=183710,183710,케이비자산운용,0.250,110,-2.81,13.06,22.42,33.89, 삼성전자 ,, SK하이닉스 ,, 우리금융지주 ,, 신한지주 ,, 삼성중공업 ,, 미래에셋대우 ,, KB금융 ,, 한화생명 ,, 한국전력 ,, 메리츠증권 ,
KBSTAR 우량업종,https://finance.naver.com/item/coinfo.nhn?code=140580,140580,케이비자산운용,0.400,57,-4.89,9.00,21.18,30.20, LG전자 ,3.22, 동서 ,2.78, 기아차 ,2.61, 현대차 ,2.61, 현대모비스 ,2.61, LG ,2.60, 한국타이어앤테크놀로지 ,2.59, 삼성SDI ,2.55, LG이노텍 ,2.47, 삼성전기 ,2.42
KBSTAR 수출주,https://finance.naver.com/item/coinfo.nhn?code=140570,140570,케이비자산운용,0.400,49,-4.85,20.16,37.75,53.59, 대한항공 ,3.38, DB하이텍 ,2.72, 포스코인터내셔널 ,2.62, LG전자 ,2.61, 금호석유 ,2.58, 일진머티리얼즈 ,2.57, 포스코케미칼 ,2.53, 팬오션 ,2.32, SK이노베이션 ,2.32, LG디스플레이 ,2.31
KBSTAR 미국S&P원유생산기업(합성 H),https://finance.naver.com/item/coinfo.nhn?code=219390,219390,케이비자산운용,0.250,721,21.92,39.04,52.21,14.04, 스왑(NH투자증권) 200605 - 4443 ,, 스왑(미래대우) 200605 - 4443 ,, 스왑(키움증권) 200723_4443 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 미국장기국채선물인버스2X(합성 H),https://finance.naver.com/item/coinfo.nhn?code=267500,267500,케이비자산운용,0.500,33,12.84,16.81,20.20,-2.86, 스왑(NH투자)_190418-4458 ,, 스왑(미래에셋대우)_190418-4458 ,, KBSTAR 미국장기국채선물인버스(H) ,, 설정현금액 ,, 원화현금 ,
KBSTAR 미국장기국채선물인버스(H),https://finance.naver.com/item/coinfo.nhn?code=267450,267450,케이비자산운용,0.400,42,6.05,8.54,10.05,0.30, FX스왑 USD 190103-08 ,, PROSHARES ULTRASHORT 20+Y TR ,, US LONG BOND(CBOT) JUN 2021 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 미국장기국채선물레버리지(합성 H),https://finance.naver.com/item/coinfo.nhn?code=267490,267490,케이비자산운용,0.500,61,-11.84,-15.91,-19.20,-6.90, KBSTAR 미국장기국채선물(H) ,, 스왑(미래에셋대우)_190418-4457 ,, 스왑(NH투자)_190418-4457 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 미국장기국채선물(H),https://finance.naver.com/item/coinfo.nhn?code=267440,267440,케이비자산운용,0.400,56,-6.19,-8.36,-10.61,-3.88, FX스왑 USD 190103-07 ,, ISHARES 20+ YEAR TREASURY BO ,, US LONG BOND(CBOT) JUN 2021 ,, 설정현금액 ,, 원화현금 ,
KBSTAR 미국나스닥100,https://finance.naver.com/item/coinfo.nhn?code=368590,368590,케이비자산운용,0.021,556,-3.22,6.42,,, APPLE INC ,, MICROSOFT CORP ,, COMCAST CORP-CLASS A ,, SIRIUS XM HOLDINGS INC ,, CISCO SYSTEMS INC ,, INTEL CORP ,, FACEBOOK INC-CLASS A ,, MONDELEZ INTERNATIONAL INC-A ,, KEURIG DR PEPPER INC ,, PEPSICO INC ,
